STOCK ISSUE SUMMARY  01/Apr/2024TO01/Apr/2024,,,,,,,,,,,,,,,,,,,
opstorelocationcode,opstorelocationname,docdate,ItemCode,ItemName,UOM,Qty,Rate,BasicValue,taxper,taxcode,TOTAL,docdetails,storelocationcode,CGST,SGST,SplCess,TCS,IGST,CESS
BAR,BAR MAIN,01/04/2024,RAW195,APPLE RED,KG,2.00,140.00,280.00,0.00,GST0,280.00,MAS/00012/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
BAR,BAR MAIN,01/04/2024,RAW205,BASIL LEAVES FRESH,KG,0.40,100.00,40.00,0.00,GST0,40.00,MAS/00012/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
BAR,BAR MAIN,01/04/2024,RAW222,DRAGAN FRUITS,KG,6.00,90.00,540.00,0.00,GST0,540.00,MAS/00012/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
BAR,BAR MAIN,01/04/2024,RAW233,LEMON,KG,11.00,80.00,880.00,0.00,GST0,880.00,MAS/00012/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
BAR,BAR MAIN,01/04/2024,RAW249,MINT LEAVES,KG,2.50,40.00,100.00,0.00,GST0,100.00,MAS/00012/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
BAR,BAR MAIN,01/04/2024,RAW253,ORANGE AUSTRALIA,KG,2.00,140.00,280.00,0.00,GST0,280.00,MAS/00012/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
BAR,BAR MAIN,01/04/2024,RAW257,PINEAPPLE FRESH,KG,2.00,30.00,60.00,0.00,GST0,60.00,MAS/00012/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
BAR,BAR MAIN,01/04/2024,RAW268,ROSE MARY FRESH,KG,0.10,180.00,18.00,0.00,GST0,18.00,MAS/00012/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
BAR,BAR MAIN,01/04/2024,RAW282,WATER MELON FRESH,KG,9.00,20.00,180.00,0.00,GST0,180.00,MAS/00012/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
BAR,BAR MAIN,01/04/2024,RAW516,KAFIR LIME LEAVES,KG,0.40,1200.00,480.00,0.00,GST0,480.00,MAS/00012/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
KIT,KITCHEN MAIN,01/04/2024,RAW025,DARK CHOCOLATE COMPOUND,KG,0.50,190.30,95.15,18.00,GST18,112.28,MAS/00006/24-25,MAS,8.56,8.56,0.00,0.00,0.00,0.00
KIT,KITCHEN MAIN,01/04/2024,RAW027,WHITE CHOCOLATE COMPOUND,KG,0.50,288.14,144.07,18.00,GST18,170.00,MAS/00006/24-25,MAS,12.97,12.97,0.00,0.00,0.00,0.00
KIT,KITCHEN MAIN,01/04/2024,RAW028,GHEE,KG,1.00,560.00,560.00,12.00,GST12,627.20,MAS/00006/24-25,MAS,33.60,33.60,0.00,0.00,0.00,0.00
KIT,KITCHEN MAIN,01/04/2024,RAW029,JOHN MOZZERELLA CHEESE,KG,1.00,460.00,460.00,12.00,GST12,515.20,MAS/00006/24-25,MAS,27.60,27.60,0.00,0.00,0.00,0.00
KIT,KITCHEN MAIN,01/04/2024,RAW031,SWEET CORN FROZEN,KG,1.00,80.00,80.00,0.00,GST0,80.00,MAS/00006/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
KIT,KITCHEN MAIN,01/04/2024,RAW034,AMUL FRESH CREAM,L001,1.00,215.00,215.00,0.00,GST0,215.00,MAS/00006/24-25,MAS,0.00,0.00,0.00,0.00,0.00,0.00
KIT,KITCHEN MAIN,01/04/2024,RAW039,BREAKFAST SUGAR,KG,1.00,79.56,79.56,5.00,GST5,83.54,MAS/00006/24-25,MAS,1.99,1.99,0.00,0.00,0.00,0.00
